Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price,Price_USD,Weight_LBS
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,1.1,8883108.0,108405.54383335797,2.425085300000001
Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1TB ,Intel UHD Graphics 620,Windows,1.21,22221108.0,271176.63067023177,2.6675938300000004
MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB    1TB ,Nvidia GeForce GTX 1070,Windows,2.8,18664308.0,227771.00751373207,6.1729444
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8,256GB ,AMD Radeon R5,Windows,2.23,4170348.0,50893.09315099588,4.91630929
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2,32GB  ,Intel HD Graphics 500,Windows,1.1,2445300.0,29841.36592009353,2.425085300000001
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB    1TB ,AMD Radeon 530,Windows,2.33,7504848.0,91585.86486021432,5.13677159
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1TB ,Intel UHD Graphics 620,Windows,1.29,21776508.0,265750.9277756693,2.8439636700000004
Lenovo,ThinkPad 13,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4,16GB  ,Intel HD Graphics 510,Chrome OS,1.45,4089430.8,49905.61522418551,3.1967033500000004
HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,1.95,8714160.0,106343.77673342422,4.299014850000001
Acer,TravelMate B,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4,128GB  ,Intel HD Graphics 405,Windows,1.4,4312620.0,52629.31807725586,3.0864722
HP,Elitebook 840,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Intel HD Graphics 620,Windows,1.48,11488464.0,140200.16279549396,3.26284204
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4,1TB ,Nvidia GeForce 920MX,Windows,2.79,5237388.0,63914.78009794578,6.1508981700000005
Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Intel HD Graphics 620,Windows,2.0,9727848.0,118714.37933302662,4.409246
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8,1TB ,Intel UHD Graphics 620,Windows,2.1,8020584.0,97879.68021790676,4.629708300000001
Acer,Aspire 5,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8,256GB ,AMD Radeon RX 540,Windows,2.2,5859828.0,71510.76415033323,4.850170600000001
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32GB  ,Intel HD Graphics 500,Windows,1.44,2596464.0,31686.104904244767,3.17465712
Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6,1TB ,Intel HD Graphics 620,Windows,2.23,4881708.0,59574.21778229581,4.91630929
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Nvidia GeForce 940MX,Windows,1.7,9335710.8,113928.90938002255,3.7478591
HP,Elitebook 820,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Intel HD Graphics 620,Windows,1.26,11870820.0,144866.26728481767,2.77782498
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32,1TB ,Nvidia GeForce GTX 1050,Windows,2.06,23465988.0,286368.59877500666,4.541523380000001
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB    1TB ,Nvidia GeForce GTX 1050 Ti,Windows,2.7,10661508.0,130108.3554116078,5.952482100000001
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,2.0,8385156.0,102328.756591448,4.409246
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB    1TB ,Intel HD Graphics 620,Windows,2.0,11861928.0,144757.75322692643,4.409246
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB ,Intel HD Graphics 520,Windows,1.85,3992508.0,48722.81199317089,4.07855255
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB ,Nvidia GeForce GTX 1050,Windows,2.5,8883108.0,108405.54383335797,5.5115575
HP,EliteBook 840,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256GB ,Intel HD Graphics 620,Windows,1.48,11275056.0,137595.82540610398,3.26284204
Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB    1TB ,Nvidia GeForce 940MX,Windows,1.9,9327708.0,113831.2467279204,4.1887837
HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,1.84,10172448.0,124140.08222758908,4.05650632
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB ,Intel HD Graphics 500,Linux,2.0,2445211.08,29840.28077951462,4.409246
Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Nvidia GeForce 940MX,Windows,2.0,10161333.0,124004.43965522504,4.409246
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB ,Intel HD Graphics,Linux,2.2,2444410.8,29830.514514304403,4.850170600000001
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12,2TB ,AMD Radeon 530,Windows,2.2,7993908.0,97554.13804423304,4.850170600000001
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB ,Nvidia GeForce 930MX ,Windows,2.1,6366672.0,77696.06545013443,4.629708300000001
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,512GB ,Intel UHD Graphics 620,Windows,1.4,18664308.0,227771.00751373207,3.0864722
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.2,14040468.0,171343.69741028248,2.6455476
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB    2TB ,Nvidia GeForce GTX 1050 Ti,Windows,2.4,10039068.0,122512.37135922034,5.2910952
HP,Stream 14-AX001nv,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2,32GB  ,Intel HD Graphics 400,Windows,1.44,2480868.0,30275.422151658528,3.17465712
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16,512GB    256GB ,Intel UHD Graphics 620,Windows,1.88,14297980.32,174486.26452681306,4.14469124
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32GB  ,Intel HD Graphics 500,Windows,1.5,3334500.0,40692.77170921845,3.306934500000001
Dell,Inspiron 5570,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB ,AMD Radeon 530,Windows,1.9,5895396.0,71944.82038189821,4.1887837
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512GB ,Nvidia GeForce GTX 1050,Windows,2.06,18027818.64,220003.5712498765,4.541523380000001
HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Intel HD Graphics 620,Windows,1.84,11595168.0,141502.33149018895,4.05650632
MSI,GP72MVR 7RFX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB    1TB ,Nvidia GeForce GTX 1060,Windows,2.7,12528828.0,152896.3075687701,5.952482100000001
HP,Zbook 15,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB ,Nvidia Quadro M1200,Windows,2.6,15456696.84,188626.73141062172,5.732019800000001
Toshiba,Tecra A50-C-21G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512GB ,Nvidia GeForce 930M,Windows,2.4,12475476.0,152245.22322142264,5.2910952
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB    2TB ,AMD Radeon 530,Windows,2.02,8633242.8,105356.29880661386,4.45333846
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB ,Intel HD Graphics 500,No OS,2.2,2863135.08,34940.44150040333,4.850170600000001
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1TB ,Nvidia GeForce GTX 1050,Windows,2.65,8883108.0,108405.54383335797,5.84225095
Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,2TB ,Intel HD Graphics 620,Windows,2.36,4956134.04,60482.48044684557,5.20291028
Dell,Latitude 7480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256GB ,Intel HD Graphics 620,Windows,1.36,12688884.0,154849.56061081262,2.9982872800000004
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB ,Intel HD Graphics 520,Windows,1.86,3903588.0,47637.6714142584,4.10059878
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,2.0,8402940.0,102545.7847072305,4.409246
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6,128GB    1TB ,Nvidia GeForce GTX 940MX,Windows,2.8,6393348.0,78021.60762380817,6.1729444
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1TB ,Intel HD Graphics 620,Windows,1.86,5681988.0,69340.48299250824,4.10059878
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8,256GB ,Nvidia GeForce 920MX ,No OS,2.2,4437108.0,54148.51488773335,4.850170600000001
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8,2TB ,Intel HD Graphics 405,Windows,2.04,3458988.0,42211.96851969594,4.49743092
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB    1TB ,AMD Radeon 530,Windows,2.8,9647820.0,117737.7528120054,6.1729444
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB    1TB ,Nvidia GeForce GTX 1050,No OS,2.4,7193628.0,87787.8728340206,5.2910952
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,AMD Radeon R7 M445,Windows,2.33,7993908.0,97554.13804423304,5.13677159
HP,Elitebook 1040,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Intel HD Graphics 620,Windows,1.36,15561000.0,189899.6013096861,2.9982872800000004
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,512GB    2TB ,Nvidia GeForce GT 940MX,Windows,2.26,9772308.0,119256.94962248288,4.98244798
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,128GB ,AMD Radeon R5,Windows,2.1,3787992.0,46226.98866167216,4.629708300000001
Asus,Rog Strix,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,256GB    1TB ,AMD Radeon RX 580,Windows,3.25,19553508.0,238622.413302857,7.165024750000001
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4,128GB ,AMD Radeon R5,Windows,2.6,4348188.0,53063.37430882086,5.732019800000001
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.62,7727236.92,94299.80144807446,3.5714892600000008
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256GB ,AMD Radeon R5,Windows,1.91,4348099.08,53062.28916824195,4.21082993
Lenovo,Yoga 11e,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4,128GB ,Intel HD Graphics 500,Windows,1.59,4917276.0,60008.274013860806,3.5053505700000005
Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.60GHz,4,500GB ,Intel HD Graphics 400,Windows,1.8,2747628.0,33530.843888396004,3.9683214000000007
Asus,VivoBook E403NA,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32GB  ,Intel HD Graphics 500,Windows,1.5,2543112.0,31035.02055689727,3.306934500000001
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB ,Nvidia GeForce GTX 1050,Linux,2.4,7522632.0,91802.89297599685,5.2910952
HP,Omen 17-w212nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB    1TB ,Nvidia GeForce GTX 1050,Windows,3.35,10590372.0,129240.2429484778,7.385487050000001
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB ,Intel HD Graphics 520,No OS,1.85,3587922.0,43785.42235911905,4.07855255
Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB    1TB ,Nvidia GeForce GTX 1060,Windows,2.3,14716260.0,179590.76581001742,5.0706329000000006
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Nvidia GeForce 940MX,Windows,1.5,9772308.0,119256.94962248288,3.306934500000001
Asus,Zenbook Flip,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,512GB ,Intel HD Graphics 620,Windows,1.1,15551218.8,189780.23584600573,2.425085300000001
Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8,512GB ,Intel HD Graphics 620,Windows,1.13,20291544.0,247629.08010783067,2.49122399
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4,128GB ,Intel HD Graphics 620,Windows,1.5,4881708.0,59574.21778229581,3.306934500000001
Dell,Precision 3510,Workstation,15.6,Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,8,500GB ,AMD FirePro W5130M,Windows,2.23,12173148.0,148555.74525312017,4.91630929
Dell,Precision 5520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8,256GB ,Nvidia Quadro M1200,Windows,2.0,18984420.0,231677.51359781704,4.409246
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16,512GB ,Intel HD Graphics 620,Windows,1.42,22310028.0,272261.7712491442,3.13056466
Asus,Rog GL753VD-GC042T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB ,Nvidia GeForce GTX 1050,Windows,3.0,9238788.0,112746.10614900792,6.613869000000001
Asus,Rog GL753VE-GC070T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB    1TB ,Nvidia GeForce GTX 1050 Ti,Windows,3.0,14147172.0,172645.86610497747,6.613869000000001
Acer,Aspire 5,Notebook,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12,1TB ,Nvidia GeForce MX130,Windows,2.2,6170959.08,75307.67103594803,4.850170600000001
MSI,Leopard GP72M,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB ,Nvidia GeForce GTX 1050 Ti,Windows,2.7,11995308.0,146385.46409529517,5.952482100000001
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,AMD Radeon R7 M445,Linux,2.33,6925712.04,84518.34426975726,5.13677159
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256GB ,AMD Radeon 520,Windows,1.91,4437108.0,54148.51488773335,4.21082993
Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,AMD Radeon RX 550,Windows,2.1,10933247.52,133424.54502076437,4.629708300000001
Lenovo,ThinkPad L470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,1.9,8340696.0,101786.18630199177,4.1887837
Dell,Precision M5520,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8,256GB ,Nvidia Quadro M1200,Windows,1.78,24115104.0,294290.1250010678,3.92422894
Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,16,1TB ,Intel HD Graphics 620,Windows,1.13,23341500.0,284849.4019645291,2.49122399
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB ,Intel HD Graphics 500,Windows,2.2,2720952.0,33205.301714722256,4.850170600000001
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB    1TB ,Nvidia GeForce GTX 1050,Windows,2.9,13595868.0,165917.99451572003,6.393406700000001
Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB    1TB ,AMD Radeon RX 550,Windows,2.1,10176894.0,124194.33925653472,4.629708300000001
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB ,Nvidia GeForce GTX 1050,Linux,2.5,7816068.0,95383.85688640804,5.5115575
MSI,GE73VR 7RF,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB    1TB ,Nvidia GeForce GTX 1070,Windows,2.8,19998108.0,244048.11619741944,6.1729444
Asus,Zenbook 3,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,512GB ,Intel HD Graphics 620,Windows,1.1,16654716.0,203246.83043030972,2.425085300000001
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512GB ,Intel HD Graphics 520,Windows,1.2,15534324.0,189574.0591360124,2.6455476
Dell,Latitude 7480,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8,512GB ,Intel HD Graphics,Windows,1.36,14938560.0,182303.61725729867,2.9982872800000004
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB ,Intel HD Graphics 520,Windows,2.2,3636828.0,44382.24967752092,4.850170600000001
Lenovo,Lenovo IdeaPad,Notebook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,2,32GB  ,Intel HD Graphics 500,Windows,1.15,2707169.4,33037.10492499082,2.5353164500000003
Lenovo,ThinkPad P51,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512GB ,Nvidia Quadro M1200,Windows,2.67,17117100.0,208889.5614406547,5.88634341
Lenovo,Thinkpad T470p,Ultrabook,14.0,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,8,512GB ,Nvidia GeForce GT 940MX,Windows,1.7,17277156.0,210842.8144826972,3.7478591
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB ,AMD Radeon 520,Windows,2.1,4170348.0,50893.09315099588,4.629708300000001
Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8,256GB ,Intel HD Graphics 520,Windows,1.6,7015876.92,85618.67681677453,3.5273968000000004
Asus,ZenBook Flip,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,1.27,8251776.0,100701.04572307924,2.7998712100000005
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB ,AMD Radeon R5 M430,Linux,2.3,5325418.8,64989.06927106914,5.0706329000000006
Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,4,128GB ,Intel HD Graphics 520,Windows,1.65,6126588.0,74766.1858870707,3.63762795
HP,EliteBook 1040,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256GB ,Intel HD Graphics 520,Windows,1.43,13338000.0,162771.08683687382,3.15261089
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB ,Intel HD Graphics 620,Windows,2.14,4801235.4,58592.16555838001,4.7178932200000006
Lenovo,ThinkPad E480,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,AMD Radeon RX 550,Windows,1.75,10807158.96,131885.81567986647,3.858090250000001
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512GB ,Nvidia GeForce GTX 1050,Windows,2.0,16885908.0,206068.19593548225,4.409246
Chuwi,LapBook 12.3,Notebook,12.3,IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6,64GB  ,Intel HD Graphics 500,Windows,1.4,3992508.0,48722.81199317089,3.0864722
HP,ProBook 650,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8,256GB ,Intel HD Graphics 630,Windows,2.31,12688884.0,154849.56061081262,5.0926791300000005
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB ,Nvidia GeForce 940MX,Linux,2.3,5308524.0,64782.89256107577,5.0706329000000006
Dell,Alienware 17,Gaming,17.3,IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,16,256GB    1TB ,Nvidia GeForce GTX 1070,Windows,4.42,24888708.0,303730.8480376065,9.74443366
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB    1TB ,Nvidia GeForce GTX 1050 Ti,Windows,2.62,10305828.0,125767.79309595782,5.7761122600000006
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB    2TB ,AMD Radeon 530,Windows,2.02,10158220.8,123966.4597349631,4.45333846
Dell,Latitude 5480,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8,256GB ,Intel HD Graphics 620,Linux,1.6,9772308.0,119256.94962248288,3.5273968000000004
HP,Omen 17-w207nv,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,256GB    1TB ,Nvidia GeForce GTX 1070,Windows,3.35,17775108.0,216919.60172460717,7.385487050000001
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,32GB ,Intel HD Graphics 500,Windows,1.16,2658708.0,32445.70330948351,2.55736268
Samsung,Chromebook 3,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,16GB  ,Intel HD Graphics 400,Chrome OS,1.15,2391948.0,29190.28157274604,2.5353164500000003
Lenovo,Thinkpad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Intel HD Graphics 620,Windows,1.4,8980920.0,109599.19847016167,3.0864722
Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,128GB ,Intel HD Graphics 620,Windows,1.7,5326308.0,64999.92067685827,3.7478591
Lenovo,Thinkpad T570,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16,512GB ,Nvidia GeForce 940MX,Windows,2.3,21740940.0,265316.8715441043,5.0706329000000006
Lenovo,Thinkpad P51,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16,512GB ,Nvidia Quadro M2200M,Windows,2.5,21776508.0,265750.9277756693,5.5115575
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1600 3.2GHz,8,256GB    1TB ,AMD Radeon RX 580,Windows,3.2,15071940.0,183931.3281256674,7.054793600000001
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB ,Intel HD Graphics 400,Windows,2.1,3085524.0,37654.37808826348,4.629708300000001
Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i7 7Y75 1.3GHz,16,512GB ,Intel HD Graphics 615,Chrome OS,1.1,19553508.0,238622.413302857,2.425085300000001
Lenovo,ThinkPad T470s,Ultrabook,14.0,2560x1440,Intel Core i7 7500U 2.7GHz,24,512GB ,Intel HD Graphics 620,Windows,1.32,21180744.0,258480.4858969556,2.91010236
